,pref_card,case_cart_id
10,"frozenset({'120767', '85321', '78573', '99268', '44038', '81657', 'SN70006Z', '69589', '63210', 'UH0715', '133577', '99271', '40943', 'UH0697', '27582M', 'SN0605', 'LHLS970', '99269', '38246', '128453', '38206', 'UH0819', '36613', 'SN01182', 'SN00112', '34985', '83104', '39798', 'SN100146', '53171', 'UH0700', '38262', '129771', '56931', 'SN0608', '84364', '44744', 'UH095', 'SN00591', '99272', '50956', '38261', 'SN00400', '38279', 'LHLS839', '58383', '78444', '134060', '38401', '1122', '36199', '47320', '38247', '36556', '3181', '38403', '597', '38207', '352', 'LHLS842', 'SN20406', '81165', '1919', '31258', '120817', '38202', '38208', '44782', '44680', '35923', '36608', '72791', '44409', 'LHLS893', '36285', '99270', '36380', 'SN01178', '58078', '52902', '5478', '84665', '82561', '36038', '99273', '29413', '86684', 'SN0610', '83533', '82560', '587', 'SN42824', '38242', '80623', '41393', '36558', '35893', '133221', '38402', 'SN1087', '80878', '35863', '3229', '338', 'SN0611', '38193', '1857', 'SN00114', '128771', '2008', 'UH0699', 'SN0602', '36343', '36185', '35983', '83106', '134033', '58116', '36555', '39315', 'UH0698', 'SN80002', '38160'})",1
11,"frozenset({'120767', '85321', '46818', '78573', '44038', 'SN70006Z', '69589', 'UH0583', '63210', '108240', 'UH0715', '133577', '52822', '25671', '40943', 'UH0697', '27582M', 'SN0605', 'LHLS970', '128453', '38206', '584', '15813', 'SN01182', '351', '34985', '79541', '83104', '39798', 'SN100146', '53171', '76780', '129771', '45723', '21920', '38200', '56931', '84364', '83105', 'SN00591', '50956', 'SN00400', '38279', 'LHLS839', '58383', '129639', '80950', '1122', '36199', 'SN0746', '129636', '36556', 'SN20406', '81165', '31258', '120817', 'SN00298', '44782', '38197', '44680', '35923', '36608', '44409', '40576', 'LHLS893', '36285', '36380', 'SN01178', '58078', '52902', '84665', '82561', '36038', 'SN01105', '82100', 'SN0610', '83533', '587', '38410', 'SN42824', '38242', '80623', '36558', '35893', '133221', 'UH0580', 'SN1087', '42345', '35863', '3229', '82099', '2008', 'SN0602', '36343', 'UH0947', '35983', '83106', '1686', '36555', 'UH0698', 'SN80002', '38160'})",3
12,"frozenset({'13698', '120767', '46818', '78573', '85321', '35888', '44038', '80254', '69589', 'SN70006Z', 'UH0583', '63210', '108240', 'UH0715', '133577', '52822', '35883', '25671', '40943', 'UH0697', '27582M', 'SN0605', 'LHLS970', 'UH0198', '128453', '38206', '584', '15813', 'SN01182', '351', '34985', '79541', '83104', '39798', '53171', 'SN100146', '76780', '129771', '45723', '21920', '38200', '56931', '84364', '83105', 'SN00591', '50956', 'SN00400', '38279', 'LHLS839', '58383', '44748', '129639', '80950', '1122', 'UH0200', '36199', 'SN0746', '129636', '36556', 'SN20406', '81165', '31258', '120817', '586', 'SN00298', '44782', '38197', '44680', '35923', '36608', '57166', '44409', '40576', 'LHLS893', '36285', '36380', 'SN01178', '58078', '52902', '5478', '84665', '82561', '36038', 'SN01105', '82100', 'SN0610', '83533', '587', '3070', '38410', 'SN42824', '38242', '80623', '36558', '35893', '133221', '80878', 'UH0580', 'SN1087', '42345', '35863', '3229', '82099', '36560', 'SN00114', 'SN0236', '2008', 'SN0602', '36343', 'UH0947', '35983', '83106', '1686', '36555', 'UH0698', 'SN80002', '38160'})",1
13,"frozenset({'120767', '85321', '36190', '78573', '45018', '44038', '81716', '81657', '63648', 'SN70006Z', '69589', '63210', 'UH0715', '133577', '35883', '25671', '44765', '40943', 'UH0822', 'UH0697', 'SN0605', '27582M', 'LHLS970', '82093', '36384', '128453', '38206', 'UH0819', '584', '36613', '15813', '44769', 'SN01182', 'SN00112', '351', '34985', '83104', '39798', 'SN100146', '53171', 'UH0700', 'SN01117', '86685', '38262', '129771', '38160', '38141', '35874', '56931', 'SN0608', '84364', '44744', 'SN00591', '50956', 'SNU5033', '38261', 'SN00400', '38279', 'LHLS839', '58383', '78444', '134060', '38401', '1122', '47320', '36556', '3181', '38218', '597', '38207', '352', 'LHLS842', 'SN20406', '1919', '81165', '69590', '36305', '31258', '120817', '38202', '44782', '44680', '35923', '128769', '36608', '38232', '72791', '44409', '36380', '36285', 'LHLS893', 'SN01178', '44767', '58078', '52902', '6844', '5478', '84665', '82561', '36038', '51980', '29413', '83782', '86684', 'SN0610', '1557', '83533', '587', '3070', '48137', 'SN42824', '74979', '38242', '80623', '36558', '41393', '35893', '133221', '128770', 'SN1087', 'UH0580', '80878', '42345', '35863', '3229', '119551', '338', 'SN0611', '38193', 'SN00114', '1857', '128771', '2008', 'UH0699', 'SN0602', '36343', '51985', '36185', '35983', 'SN29816', '83106', '80919', '58116', '1686', '134033', '36555', '68309', '39315', '77900', 'UH0698', 'SN80002', '1308'})",1
14,"frozenset({'13698', '85321', '78573', '35888', '44038', '81657', 'SN70006Z', '69589', '80254', 'UH0583', 'UH0715', '35883', '34652', '40943', 'UH0697', '27582M', 'LHLS970', 'UH0198', '128453', '38206', '15140', 'SN01182', '351', '34985', '83104', '39798', '53171', '86685', '129771', '45723', '129507', '38160', 'SN0604', '21920', 'SN00591', '82457', 'SN00400', 'LHLS839', '58383', '44748', '129639', '63228', '80950', '82315', '1122', 'UH0200', '36199', '47320', '129636', '36556', 'SN10406', '1917', '585', 'LHLS842', 'SN20406', '81165', '44500', 'SN80003', '31258', 'UH0496', '41755', '291', '44782', '40585', '35923', '38197', '36608', '57166', '44409', '40576', 'LHLS893', '36285', '36380', '40611', 'SN100147', 'SNM00151', 'SN01178', '52902', '7414', '5478', '84665', '82561', 'SN01105', '36038', '82100', '21685', '86684', '83533', '3070', 'SN42824', '42349', '38242', 'UH0209', '80623', '36558', '35893', '133221', '128770', 'SN1087', 'UH0580', '43954', '35863', 'SNM00060', '82099', '58530', '81828', '42317', '36560', '44058', '134057', 'SN0236', '2008', '36343', '35983', '83106', '1686', '36555', 'SN00272', '63229', 'UH0698', 'SN80002', '1308'})",1
15,"frozenset({'13698', '120767', '46818', '78573', '85321', '35888', '44038', 'SN70006Z', '80254', '69589', 'UH0583', '63210', '108240', 'UH0715', '133577', '52822', '35883', '25671', '40943', 'UH0697', '27582M', 'SN0605', 'LHLS970', 'UH0198', '128453', '38206', '584', '15813', 'SN01182', '351', '34985', '79541', '83104', '39798', '53171', 'SN100146', '76780', '129771', '45723', '21920', '38200', '56931', '84364', '83105', 'SN00591', '50956', 'SN00400', '38279', 'LHLS839', '58383', '44748', '129639', '80950', '1122', 'UH0200', '36199', 'SN0746', '129636', '36556', 'SN20406', '81165', '31258', '120817', '586', 'UH0496', 'SN00298', '44782', '35923', '38197', '44680', '36608', '57166', '44409', '40576', 'LHLS893', '36285', '36380', 'SN01178', '52902', '5478', '84665', '82561', 'SN01105', '36038', '82100', 'SN0610', '83533', '587', '3070', '38410', 'SN42824', '38242', '80623', '36558', '35893', '133221', 'SN1087', '80878', 'UH0580', '42345', '35863', '3229', '82099', '36560', 'SN00114', '2008', 'SN0602', '36343', 'UH0947', '35983', '83106', '1686', '36555', '82169', 'UH0698', 'SN80002', '38160'})",2
16,"frozenset({'85321', '13698', '78573', '35888', '44038', '81657', 'SN70006Z', '69589', 'UH0583', '80254', 'UH0715', '133577', '35883', '34652', '40943', 'UH0697', 'UH0822', '27582M', 'LHLS970', 'UH0198', '1121', '128453', '38206', '15140', '584', '15813', 'SN01182', '83104', '39798', '53171', '86685', '129771', '45723', 'SN80001', '38160', '50341', 'SN0604', '21920', 'SN00591', '10610', 'SN00400', 'LHLS839', '58383', '44748', '78654', '80950', '82315', 'UH0200', '36199', '47320', '129636', '36556', '1917', 'LHLS842', 'SN20406', '38199', '81165', 'SN80003', '31258', '586', 'UH0496', '291', '44782', '35923', '38197', '36608', '57166', '44409', '40576', 'LHLS893', '36285', '36380', 'SN00983', 'SN01178', 'SNM00151', '52902', '7414', '5478', '84665', '82561', 'SN01105', '36038', '82100', '83533', '3070', 'SN42824', '42349', '38242', '80623', '36558', '35893', '133221', 'SN1087', 'UH0214', '35863', 'UH0580', 'SN0611', '82099', '58530', '81828', '36560', '44058', '2008', '134057', '36343', '35983', '83106', '1686', '36555', '82169', 'UH0698', 'UH0959', '1308'})",1
17,"frozenset({'85321', '46818', '44038', 'SN70006Z', '69589', 'UH0583', '63210', 'UH0715', '52822', '40943', 'UH0697', '27582M', 'SN0605', 'LHLS970', '128453', '38206', '584', '15813', '108252', 'SN01182', 'SN00112', '34985', '351', 'SN00399', '79541', '83104', '39798', 'SN01038', 'SN01114', 'SN100146', '53171', '76780', '129771', '21920', '38200', 'SN0608', '84364', '83105', '44744', '77069', 'SN00591', '38279', 'LHLS839', 'SN1334', '1122', '36199', '129636', '36556', '3181', '38403', '48175', '597', '38207', '38188', '352', 'SN20406', '81165', '31258', '120817', 'SN00298', '44782', '36941', '35923', '38197', '44680', '14205', '128769', '36608', '44409', 'LHLS893', '36285', '36380', 'SN01178', '38186', '58078', '52902', '5478', '84665', '82561', '36038', '82100', 'SN01115', '86684', 'SN0610', '83533', '587', '44696', '38410', 'SN42824', '82101', '38242', '80623', '36558', '35893', '133221', 'UH0217', '38402', 'SN1087', '80878', 'UH0580', '35863', '119551', 'SN0611', '38404', '82099', '68412', 'SN00114', 'SN0236', '2008', 'UH0699', '36343', '35983', '83106', '35879', '1686', '36555', '68309', 'UH0698', 'SN80002', '38160'})",1
18,"frozenset({'120767', '85321', '78573', '44038', '81657', '63210', '69589', 'UH0583', 'SN70006Z', 'UH0715', '133577', '25671', '40943', '27582M', 'UH0697', 'SN0605', 'LHLS970', '82093', '60945', '128453', '38206', 'UH0819', '584', 'SN00113', '15813', 'SN01182', '351', '34985', 'SN00112', 'SN00399', '79541', '83104', '39798', '83842', 'SN100146', '53171', '76780', '86685', '38262', '129771', '45723', '34162', '38141', '21920', '38200', '56931', 'SN0608', '84364', '108253', '77069', 'SN00591', 'UH095', '50956', '46496', 'SN00400', '38279', 'LHLS839', '58383', '129639', 'UH0212', '80950', '1122', '36199', '79948', '47320', '129636', '36556', '3181', '1849', '597', '3437', '83107', 'SN20406', '81165', 'SN80003', '31258', '120817', '38202', 'SN00298', '44782', '38197', '44680', '35923', '14205', '128769', '36608', '44409', '40576', '36285', '36380', 'LHLS893', 'SN01178', '36309', '52902', '5478', '84665', '82561', 'SN01105', '36038', '82100', '86684', '38238', 'SN0610', '83533', '82560', 'SN20550', '587', '3070', '48137', '38410', 'SN42824', '38242', '80623', '36558', '35893', '133221', '128770', 'UH0580', '42345', 'SN1087', '80878', '35863', '3229', '338', '82099', '1857', 'SN00114', '2008', 'UH0699', 'SN0602', '36343', '79063', '36185', '35983', '83106', '1686', '36555', 'UH0698', 'SN80002', '38160'})",1
19,"frozenset({'99268', '85321', '44038', '81657', 'SN70006Z', '69589', 'UH0583', '63210', 'UH0715', '99271', '34652', '40943', 'UH0697', '27582M', 'LHLS970', '99269', '1121', 'SN0919', '128453', '38206', '15140', '15813', 'SN01182', 'SN00112', '351', 'SN01042', '83104', '39798', '53171', '86685', '129771', '45723', 'SN80001', '38160', 'SN0604', '21920', '56931', '77069', 'SN00591', '99272', '10610', 'SN00400', 'LHLS839', '58383', '78654', '80950', '36199', '47320', '129636', '36556', '3181', '597', '38207', '1917', '83107', 'LHLS842', 'SN20406', '38199', '81165', 'SN80003', '31258', '120817', '291', '44782', '38197', '35923', '128769', '36608', '44409', '40576', 'LHLS893', '36285', '99270', '36380', 'SN01178', '52902', '7414', '5478', '84665', '82561', '99273', '36038', '82100', 'SN01105', '86684', '83533', '44696', '3070', 'SN42824', '42349', '38242', '80623', '36558', '15831', '35893', '133221', '128770', '80878', '44698', 'SN1087', 'UH0214', 'UH0580', '35863', 'SN0611', 'SNM00060', '82099', 'SN0622', '58530', '36560', 'SN00114', '44058', '2008', 'UH0699', '36343', '79063', '51985', '35983', '83106', '58116', '1686', '36555', '39315', 'UH0698', '1308'})",1
20,"frozenset({'85321', '46818', '44038', 'SN70006Z', '69589', '63210', 'UH0715', '52822', '40943', 'UH0697', '27582M', 'SN0605', 'LHLS970', '128453', '38206', '584', '108252', 'SN01182', '351', '34985', 'SN00112', 'SN00399', '83104', '39798', 'SN01038', '53171', '38262', '129771', '38141', 'SN0608', '84364', '77069', 'UH095', 'SN00591', '50956', '38279', 'LHLS839', '58383', 'SN1334', '1122', '47320', '79948', '36556', '3181', '597', '38207', '83107', 'SN20406', '81165', 'SN80003', '31258', '120817', '38202', 'SN00298', '44782', '36941', 'SN8683', '35923', '44680', '36608', '44409', '72791', 'LHLS893', '36285', '36380', 'SN01178', '58078', '52902', '5478', '84665', '82561', '36038', '86684', 'SN0610', '83533', '587', '38410', 'SN42824', '48137', '82101', '38242', '80623', '82095', '36558', '35893', '133221', 'UH0217', '80878', 'SN1087', '35863', '119551', 'SN0611', 'SN00114', '2008', 'UH0699', '58114', '36343', '79063', '51985', '35983', '83106', '1686', '58116', '36555', '68309', 'UH0698', 'SN80002', '38160'})",1
21,"frozenset({'120767', '85321', '78573', '45018', '44038', '81716', '81657', 'SN70006Z', '69589', '63210', 'UH0715', '133577', '35883', '25671', '44765', '40943', 'UH0697', 'UH0822', 'SN0605', '27582M', 'LHLS970', '86844', '82093', '60945', '128453', '38206', 'UH0819', 'SN00113', '44769', 'SN01182', '351', 'SN00112', '34985', 'SN00399', 'LHLS809', '83104', '39798', '83842', '53171', 'SN01117', '38262', 'SN00655', '129771', '38160', '38141', '35874', '56931', 'SN0608', '84364', '108253', '77069', '44744', 'UH095', 'SN00591', '50956', 'SNU5033', '38279', 'LHLS839', '58383', 'UH0212', '1122', '113528', 'SN03577', '47320', '36556', '3181', '38218', '597', '3437', '83107', 'SN20406', '36305', '81165', '69590', '31258', '120817', '38202', 'UH0917', '44782', '35923', '44680', '128769', '38232', '44409', '72791', 'LHLS893', '36380', 'SN00983', 'SN01178', '44767', '52902', '6844', '5478', '84665', '82561', '36038', '51980', '83782', '86684', 'SN0610', '1557', '83533', '587', 'SN20550', '76554', '3070', '38410', 'SN42824', '48137', '38242', '48097', '80623', 'SN01037', '36558', '35893', '133221', '80878', 'SN1087', 'UH0928', '35863', '119551', '81003', 'SN00114', '1857', '2008', 'UH0699', 'SN0602', '36343', '79063', '36185', '35983', '83106', 'UH0914', '1686', '41551', '36555', '68309', '77900', 'UH0698', '289', 'SN80002', '1308', '38198'})",1
