item_id,label_0_total_usage,label_0_total_surgeries,label_0_average_usage,label_1_total_usage,label_1_total_surgeries,label_1_average_usage,label_2_total_usage,label_2_total_surgeries,label_2_average_usage,label_3_total_usage,label_3_total_surgeries,label_3_average_usage,label_4_total_usage,label_4_total_surgeries,label_4_average_usage,label_5_total_usage,label_5_total_surgeries,label_5_average_usage,label_6_total_usage,label_6_total_surgeries,label_6_average_usage,label_7_total_usage,label_7_total_surgeries,label_7_average_usage,label_8_total_usage,label_8_total_surgeries,label_8_average_usage,label_9_total_usage,label_9_total_surgeries,label_9_average_usage,label_10_total_usage,label_10_total_surgeries,label_10_average_usage,label_11_total_usage,label_11_total_surgeries,label_11_average_usage,label_12_total_usage,label_12_total_surgeries,label_12_average_usage,label_13_total_usage,label_13_total_surgeries,label_13_average_usage,label_14_total_usage,label_14_total_surgeries,label_14_average_usage,label_15_total_usage,label_15_total_surgeries,label_15_average_usage
38208,1022.0,17855,0.05723886866423971,620.0,342,1.8128654970760234,76.0,33,2.303030303030303,2.0,1,2.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38214,843.0,17995,0.0468463462072798,193.0,182,1.0604395604395604,52.0,50,1.04,4.0,4,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38215,594.0,17998,0.03300366707411935,188.0,159,1.1823899371069182,103.0,74,1.3918918918918919,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38216,205.0,17768,0.011537595677622692,151.0,117,1.2905982905982907,135.0,83,1.6265060240963856,839.0,248,3.3830645161290325,34.0,14,2.4285714285714284,2.0,1,2.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38218,1422.0,17630,0.08065796937039138,518.0,389,1.3316195372750643,264.0,164,1.6097560975609757,87.0,48,1.8125,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38224,478.0,18042,0.026493736836270924,36.0,17,2.1176470588235294,415.0,152,2.7302631578947367,26.0,17,1.5294117647058822,4.0,1,4.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38226,691.0,15926,0.04338817028758006,1676.0,1246,1.3451043338683788,942.0,332,2.8373493975903616,196.0,68,2.8823529411764706,1601.0,427,3.749414519906323,356.0,161,2.2111801242236027,190.0,21,9.047619047619047,na,na,na,20.0,6,3.3333333333333335,na,na,na,455.0,43,10.581395348837209,na,na,na,na,na,na,na,na,na,10.0,1,10.0,na,na,na
38228,37.0,18217,0.002031069879782621,3.0,1,3.0,9.0,2,4.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,159.0,11,14.454545454545455,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38232,262.0,17442,0.015021213163628025,728.0,507,1.435897435897436,471.0,276,1.7065217391304348,10.0,5,2.0,2.0,1,2.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38233,152.0,18216,0.00834431269213878,8.0,5,1.6,37.0,10,3.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38236,257.0,18216,0.014108476064997804,7.0,2,3.5,34.0,13,2.6153846153846154,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
