,pref_card,case_cart_id
116,"frozenset({'36309', '75937', '18666', '72759', '14031', '100933'})",1
117,"frozenset({'75937', '18666', '72759', '14031', '100933', '128816'})",3
118,"frozenset({'139426', '44038'})",4
119,"frozenset({'139426', '44038', '38166', '36308'})",5
120,"frozenset({'139426', '44038', '38271'})",9
121,"frozenset({'85321', '36309', '36308', '63955'})",1
122,"frozenset({'85321', '44038', '78573', '35887', '1557', '80420'})",1
123,"frozenset({'75937', '72759', '100933', '28441'})",30
124,"frozenset({'75937', '36309', '18666', '72759', '14031', '128816'})",1
125,"frozenset({'44038', '14031', '75131'})",3
126,"frozenset({'139426', '36309', '36308', '38271'})",1
127,"frozenset({'72759', '100933', '75937', '80420'})",1
128,"frozenset({'139426', '36309', '44038', '36308'})",2
129,"frozenset({'139426', '79280', '75131'})",1
130,"frozenset({'18666', '128816', '44038'})",2
131,"frozenset({'85321', '36309', '28441', '44038', '78573', '36308'})",1
132,"frozenset({'85321', '18666', '72759', '128816'})",2
133,"frozenset({'36309', '18666', '44038', '78573', '128816'})",2
134,"frozenset({'85321', '36309'})",1
135,frozenset({'128816'}),1
136,frozenset({'14031'}),1
137,"frozenset({'75937', '28441', '72759', '100933', '14031', '128816'})",1
138,"frozenset({'75937', '36309', '18666', '72759', '100933', '128816'})",1
139,"frozenset({'85321', '75937', '72759', '100933'})",107
140,"frozenset({'85321', '75937', '18666', '72759', '100933'})",34
141,"frozenset({'18666', '75937', '72759', '28441'})",1
142,"frozenset({'85321', '75937', '36309', '18666', '72759', '78573'})",1
143,"frozenset({'72759', '128816', '14031'})",11
144,frozenset({'85321'}),547
145,"frozenset({'38271', '75131'})",2
146,"frozenset({'36309', '44038', '78573', '128816', '36308'})",2
147,"frozenset({'72759', '75937', '28441'})",66
148,"frozenset({'36309', '44038', '36308', '75131'})",1
149,"frozenset({'139426', '38271', '36309', '28441', '36308'})",1
150,"frozenset({'139426', '38166', '38271', '44038', '36308'})",1
151,"frozenset({'85321', '100933', '128816', '72759'})",1
152,"frozenset({'85321', '75937', '36309', '72759', '100933'})",1
153,"frozenset({'85321', '36309', '44038', '78573', '35887', '128816', '80420', '36308'})",1
154,"frozenset({'72759', '75937', '44038'})",1
155,"frozenset({'139426', '1557', '44038', '36308'})",1
156,"frozenset({'85321', '36309', '28441', '44038', '78573', '128816', '36308'})",1
